osm_wid,name,osmtype,osmsubtype,linkuse,nnodes,lat,lng,z,x,height,levels
w428376386,footway162,highway,footway,walkway,2,47.6541626,-122.1365568,688.1819,-1521.1463,0,0
w428376387,footway163,highway,footway,walkway,3,47.6541538,-122.1367256,699.8002,-1516.0338,0,0
w428376388,footway164,highway,footway,walkway,2,47.6544607,-122.1366183,703.2786,-1551.0141,0,0
w428376389,footway165,highway,footway,walkway,4,47.6542171,-122.1370108,722.2535,-1515.6159,0,0
w428376390,footway166,highway,footway,walkway,4,47.6541457,-122.1366019,690.7672,-1518.2510,0,0
w428376391,footway167,highway,footway,walkway,7,47.6544233,-122.1368838,720.7052,-1540.4883,0,0
w428376393,footway168,highway,footway,walkway,5,47.6544183,-122.1365570,697.4165,-1548.0746,0,0
w428752312,footway169,highway,footway,walkway,8,47.6548138,-122.1420266,1098.4555,-1453.9503,0,0
w428752313,footway170,highway,footway,walkway,3,47.6534429,-122.1424550,1079.3286,-1298.9426,0,0
w428752314,footway171,highway,footway,walkway,3,47.6534454,-122.1411186,984.9132,-1332.3752,0,0
w428752315,service140,highway,service,driveway,6,47.6465978,-122.1417533,782.9114,-595.4675,0,0
w428752316,service141,highway,service,driveway,4,47.6466751,-122.1404641,694.5313,-635.6118,0,0
w428752317,footway172,highway,footway,walkway,6,47.6545344,-122.1410418,1018.7480,-1448.9785,0,0
w428940719,footway173,highway,footway,walkway,2,47.6545160,-122.1377920,788.2713,-1527.7038,0,0
w428940720,footway174,highway,footway,walkway,2,47.6543324,-122.1378414,785.1433,-1507.1364,0,0
w428940721,footway175,highway,footway,walkway,5,47.6544345,-122.1388490,860.0792,-1492.8832,0,0
w428940722,footway176,highway,footway,walkway,4,47.6546430,-122.1387601,861.3081,-1517.0487,0,0
w430218369,unclassified001,highway,unclassified,road,2,47.6413170,-122.1366369,230.7095,-166.3175,0,0
w431031187,footway177,highway,footway,walkway,4,47.6518317,-122.1408804,909.8887,-1168.3419,0,0
w431032943,service142,highway,service,driveway,11,47.6473580,-122.1416390,802.2398,-678.3619,0,0
w465677944,residential001,highway,residential,slowroad,10,47.6464836,-122.1367064,421.9032,-708.7158,0,0
w465741524,service143,highway,service,driveway,15,47.6486678,-122.1381661,603.8753,-902.5101,0,0
w466517805,service144,highway,service,driveway,8,47.6507169,-122.1419662,946.4819,-1023.9877,0,0
w467506820,service145,highway,service,driveway,5,47.6442937,-122.1382930,455.1452,-438.7008,0,0
w467506822,footway178,highway,footway,walkway,2,47.6447345,-122.1384065,479.0622,-482.3057,0,0
w467506823,footway179,highway,footway,walkway,2,47.6446464,-122.1383305,470.5115,-474.9140,0,0
w467506824,footway180,highway,footway,walkway,2,47.6445366,-122.1383630,468.8546,-462.5542,0,0
w467506825,footway181,highway,footway,walkway,5,47.6446196,-122.1384189,475.7940,-469.8993,0,0
w467506827,footway182,highway,footway,walkway,2,47.6437696,-122.1381262,424.4522,-387.6450,0,0
w467506828,footway183,highway,footway,walkway,2,47.6438763,-122.1381294,428.5308,-398.8067,0,0
w479691747,footway184,highway,footway,walkway,7,47.6396214,-122.1339152,-22.8931,-55.3066,0,0
w479691749,footway185,highway,footway,walkway,2,47.6449044,-122.1403868,625.2277,-451.0479,0,0
w479825496,150th Avenue Northeast002,highway,residential,slowroad,8,47.6488334,-122.1403997,767.7955,-864.5063,0,0
w479825497,150th Avenue Northeast003,highway,residential,slowroad,8,47.6513700,-122.1405074,866.8692,-1128.9785,0,0
w479825498,150th Avenue Northeast004,highway,residential,slowroad,16,47.6532128,-122.1409112,961.8656,-1313.0316,0,0
w480711558,footway186,highway,footway,walkway,2,47.6407037,-122.1414223,546.9982,17.0516,0,0
w482287791,footway187,highway,footway,walkway,2,47.6377959,-122.1340626,-78.2815,140.6014,0,0
w482287792,footway188,highway,footway,walkway,3,47.6378759,-122.1338416,-91.0254,126.6904,0,0
w482287793,footway189,highway,footway,walkway,3,47.6379878,-122.1325223,-180.2884,82.1564,0,0
w482287794,footway190,highway,footway,walkway,2,47.6380367,-122.1338775,-82.6839,110.6429,0,0
w482287795,footway191,highway,footway,walkway,2,47.6382567,-122.1339134,-72.2222,88.3675,0,0
w482287796,footway192,highway,footway,walkway,2,47.6382366,-122.1337634,-83.5507,86.7622,0,0
w484311528,footway193,highway,footway,walkway,5,47.6381709,-122.1351956,15.3609,129.2280,0,0
w484311529,footway194,highway,footway,walkway,3,47.6384602,-122.1351004,19.0554,96.4006,0,0
w484311530,footway195,highway,footway,walkway,2,47.6393259,-122.1351078,50.7983,5.4099,0,0
w484311531,footway196,highway,footway,walkway,2,47.6393869,-122.1349052,38.6600,-6.0353,0,0
w485397891,footway197,highway,footway,walkway,3,47.6412988,-122.1414035,567.1292,-46.0825,0,0
w485397894,steps004,highway,steps,walkway,2,47.6401353,-122.1411142,504.7194,69.2714,0,0
w485397895,footway198,highway,footway,walkway,3,47.6401775,-122.1410645,502.7246,63.5908,0,0
w485399407,service146,highway,service,driveway,3,47.6406838,-122.1416280,560.8317,24.2589,0,0
w485399408,service147,highway,service,driveway,2,47.6411736,-122.1417721,588.6781,-23.7583,0,0
w485399409,footway199,highway,footway,walkway,2,47.6413120,-122.1415042,574.7268,-44.9708,0,0
w485399410,footway200,highway,footway,walkway,3,47.6413694,-122.1412277,557.2393,-57.8867,0,0
w485401486,footway201,highway,footway,walkway,3,47.6391509,-122.1413839,488.3052,179.6302,0,0
